"","point_id","long","lat","v1","v2","v3","cloud1","cloud2","cloud3","julian1","julian2","julian3","temp1","temp2","temp3"
"1","center",-77.8634,40.7941,0,0,0,0,50,50,114,142,142,79,56,56
"2","e01",-77.8587,40.7854,0,0,1,25,0,0,121,151,151,73,66,66
"3","e02",-77.8409,40.7897,0,1,1,75,0,0,121,151,151,73,66,66
"4","e03",-77.8322,40.785,0,1,0,75,0,0,121,151,151,73,66,66
"5","e04",-77.8215,40.7823,0,1,1,0,0,0,121,151,151,73,66,66
"6","e05",-77.8067,40.7836,0,1,0,25,25,25,121,151,151,73,66,66
"7","e06",-77.8,40.7769,0,1,0,0,25,25,121,151,151,73,66,66
"8","e07",-77.7743,40.7892,0,1,0,0,0,0,121,151,151,73,69,69
"9","e08",-77.7735,40.7765,0,1,0,0,100,100,121,151,151,73,69,69
"10","e09",-77.7538,40.7828,0,1,0,0,0,0,121,151,151,73,69,69
"11","e10",-77.7491,40.7741,0,1,0,0,0,0,121,151,151,73,69,69
"12","n01",-77.8721,40.7918,1,0,0,0,0,0,134,154,154,68,61,61
"13","n02",-77.8618,40.8086,1,1,1,75,0,0,133,154,154,66,60,60
"14","n03",-77.8546,40.8224,1,1,1,75,25,25,133,152,152,66,64,64
"15","n04",-77.8563,40.8271,1,1,0,25,50,50,134,152,152,68,65,65
"16","n05",-77.858,40.8319,0,1,1,100,0,0,133,152,152,66,64,64
"17","n06",-77.8568,40.8397,0,0,0,0,25,25,134,152,152,67,65,65
"18","n07",-77.8575,40.8454,0,1,1,0,50,50,134,152,152,67,65,65
"19","n08",-77.8372,40.8722,0,0,0,0,25,25,134,152,152,67,63,63
"20","n09",-77.842,40.874,0,0,0,0,25,25,134,152,152,68,64,64
"21","n10",-77.8527,40.8697,0,1,1,0,25,25,134,152,152,68,65,65
"22","s01",-77.8706,40.7803,0,1,1,100,100,100,132,154,154,67,61,61
"23","s02",-77.8609,40.7835,0,0,0,100,50,50,132,154,154,67,61,61
"24","s03",-77.8662,40.7718,0,1,1,75,25,25,132,154,154,67,61,61
"25","s04",-77.8754,40.756,1,0,1,50,50,50,132,154,154,67,62,62
"26","s05",-77.8707,40.7542,0,1,0,75,75,75,132,154,154,67,63,63
"27","s06",-77.878,40.7405,0,1,1,50,100,100,132,145,145,65,64,64
"28","s07",-77.8822,40.7297,0,1,0,50,100,100,132,145,145,66,64,64
"29","s08",-77.8825,40.7229,0,0,0,50,100,100,132,145,145,67,64,64
"30","s09",-77.8918,40.7072,0,0,0,75,100,100,132,145,145,67,64,64
"31","s10",-77.897,40.6954,0,0,0,100,100,100,132,145,145,67,64,64
"32","w01",-77.8721,40.7988,0,0,1,0,50,50,114,142,142,79,56,56
"33","w02",-77.8888,40.7955,0,0,1,0,50,50,114,142,142,79,55,55
"34","w03",-77.8946,40.8031,0,0,1,0,50,50,114,142,142,79,56,56
"35","w04",-77.9073,40.8038,0,0,1,0,50,50,114,142,142,79,56,56
"36","w05",-77.921,40.8035,0,0,0,0,50,50,114,142,142,79,56,56
"37","w06",-77.9458,40.7922,0,0,0,0,50,50,114,142,142,79,53,53
"38","w07",-77.9505,40.8009,0,0,0,0,25,25,114,142,142,79,53,53
"39","w08",-77.9553,40.8096,0,0,0,0,25,25,114,142,142,79,54,54
"40","w09",-77.968,40.8103,0,0,0,0,50,50,114,142,142,79,54,54
"41","w10",-77.9837,40.808,0,1,1,0,25,25,114,142,142,79,60,60
